gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.035878263668305585e-02,-3.793520039497889212e-02,-3.467019443592140454e-02
-9.535400784772317395e-02,6.618405757484606237e-03,4.242340931175907909e-03
-5.377172728998851070e-02,2.611044913124919292e-03,4.707329210357937693e-02
8.795409723622754292e-03,1.572097299018287942e-03,-1.311624199548766870e-02
3.918941863270482967e-02,3.917026124250276575e-02,5.813201613559272618e-02
1.256813673859949118e-02,6.031798336538597011e-02,-6.411419852384608875e-02
1.658998573329123136e-02,-1.194564740302340826e-02,-2.105758940125151447e-03
-4.681677504355573338e-02,3.652504383936872739e-02,-8.165508684845635204e-03
-3.451486423970259038e-02,9.886693953138759108e-03,8.048653289107816911e-03
-6.499460694469112731e-02,3.629373208239725784e-02,3.680904421946358529e-02
-4.364496113607511246e-02,-2.246233960206667213e-02,2.352207771548130849e-02
3.933762332004343831e-02,-2.782616773191546808e-02,5.236986739457483858e-02
4.396071312652031354e-02,1.871305130341014561e-02,-2.162809702511295923e-02
2.035731104523430882e-02,2.190592078973964754e-02,2.367968319765961782e-02
2.998395964429815402e-02,-3.536352006311872798e-02,3.886598962408802094e-02
2.511657028191759122e-02,1.846204584714871560e-02,-3.938345325726993335e-03
-3.175617726715399686e-02,-5.033676191103932107e-02,7.656876707437987317e-02
2.387161035281962912e-02,4.567934372330923962e-03,-4.618657822806374047e-02
7.528196087248502366e-02,9.425393007789131111e-03,-2.282903462044066217e-02
-1.109324351976951478e-02,-1.632051475993523751e-02,-1.027892102753461406e-01
4.359304030427424426e-02,3.138219592815286868e-02,-1.032399815455866060e-03
1.375970786584329933e-02,-3.184789255235984193e-03,5.840560338107365218e-02
-1.248465549663476531e-02,4.046419331989777046e-02,1.530970515441782386e-02
-3.845591924417953583e-02,4.253206857899823057e-02,1.833697254110227062e-02
-5.780980972699648925e-03,5.349983394742359455e-02,-4.946951493412553996e-02
-3.525254335936914979e-02,-2.867958637908996425e-02,-9.708948629344269637e-03
-3.863765380068489436e-02,8.940539399497429013e-03,3.973281150766447343e-04
4.632944555983063012e-02,7.846206973021793013e-03,-7.234990779203467892e-02
1.491705585556133036e-02,7.912470152015523006e-02,6.481838065445844066e-02
5.963436302761036811e-02,6.499842242221928745e-02,-2.145342812453722436e-02
5.513544318601505391e-05,3.724694613744230359e-02,7.600036138813894525e-03
5.735655387738475969e-02,-9.090443942544199074e-02,-8.220239015917148520e-03
1.742141932515937561e-02,3.734375069855692258e-02,-2.720160955734246891e-02
2.623016415897009082e-02,-6.289743008981901577e-03,9.059288846189431435e-03
1.019409929295022298e-02,-1.868139580793682503e-02,7.283379040763995893e-03
-7.736291622565019677e-03,4.751499083854834882e-02,-7.453328734987613169e-02
-3.179539996582592815e-02,-6.812319499062766126e-02,1.874752833357582610e-02
-8.197963140308153762e-02,-3.859804240288083801e-03,1.346386830925456676e-02
-8.233310225378459579e-03,-5.997395411308070745e-02,-5.990151257269018398e-02
6.480910337001663524e-02,1.795111547492567530e-02,-2.310992122805241925e-02
-6.770650307841465099e-02,1.497548787852846612e-02,1.273267517087104360e-02
-3.583697369895533918e-02,-4.109608003606512322e-02,2.455380747642864347e-03
-3.199713236809672429e-02,4.868230053057366960e-03,2.774213047404958804e-02
-3.570619627808970659e-02,-5.374910014891278592e-02,1.332751345052927278e-02
-6.213817202369202944e-03,-1.467310812073762717e-02,-8.398847346377811066e-03
2.833841685595972840e-02,-3.177919872105268440e-02,-2.932962574050677548e-02
-2.800458464440752811e-03,1.862933314883225694e-02,4.402516547185745047e-03
-7.941803413414355584e-02,-1.856257455369987597e-02,-3.262677395231602939e-02
-2.061859847578755359e-02,-1.250287504063494343e-02,8.310586628772392848e-02
6.954126278809077966e-03,5.962984382108066361e-02,-7.407692278079849868e-02
-6.256037075948145398e-02,-2.537736448108378340e-02,-3.236651364729648678e-02
1.957447161002220937e-02,7.924034542311748919e-02,-2.242834796216113327e-02
-9.791765597515803780e-04,6.493958155368530216e-02,-2.257778749414993819e-02
5.039931646982796429e-03,-6.595986398372451209e-02,-2.211628923124226223e-02
9.244339943766579498e-03,3.360191528547538248e-02,4.792702864266901175e-02
1.072434207588177785e-02,1.077148666300963842e-01,-5.966320468227828688e-02
1.567759151803246528e-02,-5.155329760378637993e-02,-3.676572146703376703e-02
6.326944252787541911e-02,-9.347391366888732969e-03,8.362762177591294421e-02
-1.274971981400569755e-02,5.572036624433091001e-02,3.192261387282986640e-02
-4.171060099601194004e-02,-2.372431206755993421e-02,-8.327165341173856095e-02
4.234636798305443928e-02,-5.708937891207111620e-02,7.360194751596520722e-03
1.027195481508425337e-02,-1.131217801683132018e-02,-3.007474957288389442e-02
5.428908939750429902e-02,-4.471914933877155218e-02,-1.180451722328162631e-02
-2.127914646470255994e-02,-7.111114768084651414e-03,-2.029230383527484693e-02
2.805375110867293700e-02,3.518533237490748672e-02,2.402500752139037632e-02
-2.188760043870893734e-02,-4.898834525130277978e-02,-1.083085549758779943e-02
-1.862822630645771457e-02,-1.232771469083286664e-02,3.703147856727238840e-02
-3.249877401660409768e-03,5.158049264799349776e-02,-3.237223173483069500e-03
-2.305465605740064997e-02,-3.820610513834891281e-02,-2.210024874929947605e-03
4.824327575619447028e-02,4.143574218443005219e-02,-1.051376196318336113e-02
-9.688673599819341842e-03,1.272165790145604082e-02,3.785753193920861348e-02
5.681568847722229254e-02,-2.578130246545672601e-05,-1.687153993503892266e-02
6.554143108467360215e-03,6.733796352282570008e-02,7.492195907045098857e-03
-3.094702153747701592e-03,-3.922634528329069226e-02,-3.704425725467744984e-02
1.353590089343367601e-02,-3.891931020136747254e-03,3.814054203155263501e-02
4.292348794878244472e-03,-1.379659232338986338e-02,5.916412030287894475e-02
-3.800412434117977911e-02,7.525428431727546053e-02,-1.600414088617327715e-02
3.148315667330353618e-02,3.751032779451737159e-02,-2.809068948664368917e-02
-8.014396591276449697e-03,2.339256125005894499e-02,3.321478260010399947e-02
2.582813302208807754e-02,-4.480979362576712616e-02,7.480895476072993086e-03
1.968494955765311138e-02,4.866284315419675856e-03,-3.495451999350272787e-02
3.467608228489905964e-02,-8.285690560607500421e-02,-4.585105116095013894e-02
-2.900960883943371274e-02,7.309681517961097441e-02,6.957502970693895880e-03
1.819835857363602191e-02,5.151346230943837368e-02,-1.263979529467398367e-02
