accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-3.337151761937127592e+00,1.550149935051642891e-01,9.207776217582217981e+00
-3.349307324511179296e+00,1.596246719328279773e-01,9.192024937304680066e+00
-3.334724699900216915e+00,1.695860147186944999e-01,9.194914399591988641e+00
-3.358003165954849933e+00,1.593373720704562291e-01,9.192114251311021889e+00
-3.347273492837038678e+00,1.717517012437184132e-01,9.181477927244632298e+00
-3.345655633095005133e+00,1.715025937605896833e-01,9.187263365485373257e+00
-3.349913658999061461e+00,1.624195581813696054e-01,9.186563822300712445e+00
-3.343702451636003659e+00,1.641300263562535944e-01,9.178627339904993576e+00
-3.346097441110494675e+00,1.552796553186424344e-01,9.193936704153252037e+00
-3.343512675746659113e+00,1.535928073302746666e-01,9.196541687152517852e+00
-3.348204068499413655e+00,1.526225623287378319e-01,9.197624865010171291e+00
-3.340484444326360158e+00,1.630032023949270215e-01,9.191702049244732109e+00
-3.344393295301034907e+00,1.572329305479288342e-01,9.182613799038451319e+00
-3.347024659001370139e+00,1.677167553414404821e-01,9.179210986067410261e+00
-3.356168065766858444e+00,1.561370828319308679e-01,9.194040087222926871e+00
-3.342978545425247638e+00,1.499271220429539420e-01,9.181348127733226505e+00
-3.334190156725898913e+00,1.575693528192096127e-01,9.190903965724658065e+00
-3.338906935821325916e+00,1.550435683372414775e-01,9.194235243854416595e+00
-3.335974336896573078e+00,1.596298608659758866e-01,9.187512393939323729e+00
-3.344808624798892183e+00,1.612562564884802430e-01,9.190286822459107441e+00
-3.342801153253377677e+00,1.554895461641758736e-01,9.186215630084502592e+00
-3.348665608892276602e+00,1.530130153873874577e-01,9.184812478923845447e+00
-3.341887146189280511e+00,1.585726029870774545e-01,9.188017407657330438e+00
-3.342270376193457793e+00,1.568234270126671603e-01,9.180808833171489880e+00
-3.341009035303075692e+00,1.571136077423240796e-01,9.201034020223366028e+00
-3.345171478028674095e+00,1.557379842798054803e-01,9.194832832249593579e+00
-3.341592614516264437e+00,1.570744948168349975e-01,9.187089550897349355e+00
-3.346782344960802735e+00,1.574012443865963617e-01,9.196771867910353393e+00
-3.343983685413514984e+00,1.611885963735604776e-01,9.187842488021022547e+00
-3.347043972387702571e+00,1.521357867510720607e-01,9.187966781589974374e+00
-3.353509156144897752e+00,1.654590147623820062e-01,9.198718149569753422e+00
-3.340681894404443852e+00,1.603241460371856719e-01,9.191797140920353826e+00
-3.349364808092497814e+00,1.650766160479594236e-01,9.170569104875371025e+00
-3.349306831210395519e+00,1.536005447967553339e-01,9.197451990949428335e+00
-3.347970064828047043e+00,1.550912842534095670e-01,9.189942123745124647e+00
-3.328744517664972147e+00,1.493409627477086665e-01,9.198593715452741293e+00
-3.344831695615610112e+00,1.605914981467753688e-01,9.164022613509095194e+00
-3.342623920602918464e+00,1.636080535499650213e-01,9.193628363579422924e+00
-3.345867668587524157e+00,1.551814676790715108e-01,9.196533688806241003e+00
-3.353360433569179122e+00,1.621663335349067536e-01,9.191065962943183010e+00
-3.348430751497459834e+00,1.527364461784987970e-01,9.196018582497188731e+00
-3.341094998332017063e+00,1.600236538240899509e-01,9.185531599500334821e+00
-3.356440118168587006e+00,1.633961046645709125e-01,9.194917324462348773e+00
-3.351385773126961620e+00,1.594987650433232484e-01,9.184457099596706087e+00
-3.348471610658027231e+00,1.646266600495744081e-01,9.187286482745239624e+00
-3.338039981307329374e+00,1.634776528080472413e-01,9.185781009528668051e+00
-3.348009231820979092e+00,1.602678609997595371e-01,9.186632153353027519e+00
-3.336874494373364364e+00,1.568082147012703209e-01,9.183000583018332108e+00
-3.347528999724328269e+00,1.579424230178109179e-01,9.183217352636818376e+00
-3.343802365141996802e+00,1.653226247651876923e-01,9.189711192428141828e+00
-3.361878981298029423e+00,1.588884821919797630e-01,9.190668004083716980e+00
-3.357438471949396153e+00,1.594713257089881153e-01,9.170513694400543869e+00
-3.348934436416398430e+00,1.715040667414614861e-01,9.196432750893819730e+00
-3.339616362623538670e+00,1.568276213050990853e-01,9.184135854288326684e+00
-3.352961776478081024e+00,1.608900163889362411e-01,9.191371863443798418e+00
-3.345997579862748150e+00,1.546548391101483233e-01,9.201949234051562954e+00
-3.348438758928887093e+00,1.607326744777734795e-01,9.196841288615260623e+00
-3.341529358009764916e+00,1.588482853028032049e-01,9.170878332996730720e+00
-3.346935110899389443e+00,1.585519208372397071e-01,9.192014798663613817e+00
-3.352115868382232744e+00,1.599993519188439295e-01,9.204746378005369323e+00
-3.343016234131946263e+00,1.614127474837517839e-01,9.189076989429349140e+00
-3.340575052588819815e+00,1.507462465547040886e-01,9.183679102955757401e+00
-3.347768876502551283e+00,1.561654203485132453e-01,9.188526578310705517e+00
-3.349976917484190686e+00,1.657673460772373375e-01,9.190075234614361932e+00
-3.343411326506779968e+00,1.611475194722931936e-01,9.175245073628087056e+00
-3.350720408943414608e+00,1.591708882974632311e-01,9.193335620150284271e+00
-3.349417138757890378e+00,1.660042030387521850e-01,9.188057014466913586e+00
-3.339794092978129569e+00,1.603982067384592258e-01,9.185196276101157409e+00
-3.345721697301677455e+00,1.607423105409077901e-01,9.181635328444832211e+00
-3.350222482137748425e+00,1.599140947779194022e-01,9.186887893840051333e+00
-3.343047951599257939e+00,1.675206138573193393e-01,9.190188567686863763e+00
-3.349184216666968084e+00,1.643070016859579652e-01,9.178707929551750411e+00
-3.341160579406480480e+00,1.561760246552209297e-01,9.180739466126345505e+00
-3.342465728449759865e+00,1.556155234845096325e-01,9.198560420636264112e+00
-3.349931164779690551e+00,1.553861405011360275e-01,9.195435807826704888e+00
-3.350817084923435107e+00,1.654732652901621526e-01,9.191812167004753675e+00
-3.333264469520791362e+00,1.591944054906854755e-01,9.189719807075240610e+00
-3.343475719238728328e+00,1.529325964379807112e-01,9.191190804506312872e+00
-3.344862018696403538e+00,1.557737914331341345e-01,9.191026945372215096e+00
-3.344459688688321553e+00,1.644468720829373176e-01,9.194594572367066121e+00
-3.353335058087084875e+00,1.561652007417443089e-01,9.190321547788084189e+00
-3.352712143452136306e+00,1.684051415778442529e-01,9.184919549246085779e+00
-3.347271353340188771e+00,1.581039420326008360e-01,9.202008448535636376e+00
-3.346701157670066262e+00,1.526695995580625298e-01,9.182785187787358083e+00
-3.342737483948976074e+00,1.614633067109144116e-01,9.170113326159434308e+00
-3.349195837544925780e+00,1.659636493833626103e-01,9.189501228171264913e+00
-3.351581415831450528e+00,1.688800161359418350e-01,9.194834259823604583e+00
-3.340733795994965671e+00,1.603524466940983717e-01,9.186305525738701405e+00
-3.346754501948173477e+00,1.542509458942760980e-01,9.191030530548889743e+00
-3.349240600413636582e+00,1.589091654719965996e-01,9.188371784920850160e+00
-3.343858223070870661e+00,1.606564387725675780e-01,9.189092046895963151e+00
-3.341490094821356394e+00,1.660320363470278449e-01,9.190061998757869333e+00
-3.341460808091443635e+00,1.634312339381566448e-01,9.202426215688625177e+00
-3.346774246853349233e+00,1.621593037429900630e-01,9.186728309446026586e+00
-3.335454523884839428e+00,1.570081401936594123e-01,9.194921573419229333e+00
-3.339387501864718999e+00,1.570897111904593635e-01,9.193962016943100224e+00
-3.352016214032974784e+00,1.552840718987403001e-01,9.195189021155229625e+00
-3.346377969613009817e+00,1.541736550218343882e-01,9.201115753634988792e+00
-3.341843261328027115e+00,1.601252975915780086e-01,9.180360157833115764e+00
-3.341307604902675976e+00,1.529764999300354811e-01,9.184995693695894303e+00
-3.345968570689902943e+00,1.602718195736210494e-01,9.203461774597661460e+00
-3.345452851156306640e+00,1.571315310495639550e-01,9.201758478553198728e+00
-3.335571889718734084e+00,1.567317617342608715e-01,9.186028503730677031e+00
-3.347395198172461672e+00,1.620733920127759853e-01,9.183960978769786010e+00
-3.339289511250964626e+00,1.532533839742292459e-01,9.170236431720374171e+00
-3.352560333697374606e+00,1.575589229321094631e-01,9.196718462991521292e+00
-3.347174752304200585e+00,1.621854335159583493e-01,9.197475294341080243e+00
-3.342082461212724009e+00,1.611573006519756990e-01,9.186055956944416678e+00
-3.346692220019843678e+00,1.599852367775660977e-01,9.197515572428921260e+00
-3.343560295567386209e+00,1.625763485322623547e-01,9.184163140987827489e+00
-3.343035762078547357e+00,1.632304138712787622e-01,9.193867117890972551e+00
-3.343144872133676948e+00,1.638292568963729823e-01,9.191622433005317561e+00
-3.357171200318347815e+00,1.632457821855819446e-01,9.196958774786194724e+00
-3.340448346552266745e+00,1.632540618682438716e-01,9.182499364984598955e+00
-3.346426078806214566e+00,1.616248845402999956e-01,9.191989646732343644e+00
-3.343540752345255385e+00,1.631128714003786950e-01,9.186627110780765548e+00
-3.350476954499445714e+00,1.548550140861644497e-01,9.187437167395533066e+00
-3.352284192035435151e+00,1.592516660331239065e-01,9.192356459068919960e+00
-3.332175316782492569e+00,1.578313170513823693e-01,9.184603965401970882e+00
-3.351217561224534069e+00,1.554545716004029632e-01,9.184816646147611507e+00
-3.343568751919060666e+00,1.548399197768341173e-01,9.187971930707847790e+00
-3.338700074375717364e+00,1.652949295067676905e-01,9.189115363387660551e+00
-3.346558979162526981e+00,1.581306321178980734e-01,9.183720514689397874e+00
-3.349263591294674214e+00,1.649357635497538666e-01,9.194597763592710749e+00
-3.335836501060617465e+00,1.503046279943165142e-01,9.182464712056242817e+00
-3.343003647225764041e+00,1.625531249629682817e-01,9.178603862923207402e+00
-3.344319611831775507e+00,1.558798164472320891e-01,9.190037397245411910e+00
-3.337215305037438462e+00,1.622395499926056195e-01,9.182236006998442335e+00
-3.353502571531057797e+00,1.632951788223258038e-01,9.190175447403005293e+00
-3.343644500327611624e+00,1.616180164218787019e-01,9.187486561070921098e+00
-3.339066008796498508e+00,1.616809915728301683e-01,9.195841798490073771e+00
-3.349747546771199236e+00,1.583537292290025933e-01,9.177411074267018520e+00
-3.339192339293305611e+00,1.644067239751365872e-01,9.181145864315546135e+00
-3.350672674842017695e+00,1.574322455689270150e-01,9.191103743062340570e+00
-3.344612039960691341e+00,1.524359471407086275e-01,9.188596598543881555e+00
-3.349187769050571362e+00,1.590560683614663517e-01,9.181500728282507851e+00
-3.341399977198800109e+00,1.582425665762740297e-01,9.186092863487544946e+00
-3.345472189409798069e+00,1.589265728505062647e-01,9.180130405819914685e+00
-3.342826818883342987e+00,1.628205581627601428e-01,9.201748629373666333e+00
-3.344385933046854831e+00,1.624585415905818453e-01,9.179032167457600977e+00
-3.344506455370518605e+00,1.551898397794794771e-01,9.190186534399330753e+00
-3.335958882939830339e+00,1.608904584742594790e-01,9.177632776905580769e+00
-3.343516909202700393e+00,1.615397707895230295e-01,9.203903545479276360e+00
-3.340693674853288719e+00,1.591307279166596644e-01,9.186580944160104067e+00
-3.342491068136267174e+00,1.576408947110512770e-01,9.192794756136441592e+00
-3.347531729321665317e+00,1.687675432672097187e-01,9.183203516058132010e+00
-3.342233870285502118e+00,1.637564070221091683e-01,9.201566801476976920e+00
-3.350378779686204567e+00,1.519366021759891994e-01,9.186930231808897673e+00
-3.352570273916308352e+00,1.613871545267683005e-01,9.207763782525393736e+00
-3.344091518613384828e+00,1.573100016399142931e-01,9.190137117948681933e+00
-3.347133019530992737e+00,1.550414772861115897e-01,9.196219672404630785e+00
-3.349925773121586570e+00,1.640195918344911075e-01,9.175286008967123763e+00
-3.346626885994706591e+00,1.662518601719304989e-01,9.187531863224210227e+00
-3.347609926757079357e+00,1.606955381780831305e-01,9.176150622688679093e+00
-3.351046731685316526e+00,1.564397302658181721e-01,9.183852654262150139e+00
-3.353469765486496001e+00,1.678774511280262394e-01,9.194884411220941800e+00
-3.341775919248117788e+00,1.704343773357334391e-01,9.204157520356314848e+00
-3.340021285167700693e+00,1.691980972879367773e-01,9.192253894024513983e+00
-3.342309841525459291e+00,1.666133744574713471e-01,9.173119828951863397e+00
-3.344941653589447839e+00,1.689482965824359861e-01,9.184981442467066159e+00
-3.345285016914387288e+00,1.657497390299983164e-01,9.194078751562605234e+00
-3.349630141223618462e+00,1.607515285811479677e-01,9.188821074490597596e+00
-3.353691634975887848e+00,1.640057174543780305e-01,9.199462528824442487e+00
-3.353750100192071759e+00,1.606046933763167484e-01,9.185574924332819080e+00
-3.339719146512520886e+00,1.593645777294399324e-01,9.188687308150202071e+00
-3.336156209327510336e+00,1.699300764652771356e-01,9.181841960470409347e+00
-3.344230682320183057e+00,1.606375804847466615e-01,9.191567278499640281e+00
-3.343552294032473338e+00,1.611809023572576272e-01,9.178340763060145235e+00
-3.352240426272075080e+00,1.538730653320147246e-01,9.202283739421197595e+00
-3.342950786180174383e+00,1.640306675500295408e-01,9.183066176702977756e+00
-3.338052289129733730e+00,1.624295611577125931e-01,9.178086332628765831e+00
-3.339471587328916691e+00,1.553928288612291542e-01,9.182594758841386096e+00
-3.338703679950438818e+00,1.585251027880400509e-01,9.170761661659053487e+00
-3.338271059519076989e+00,1.569935180348354109e-01,9.182233206274691639e+00
-3.334320515952476693e+00,1.515527092913099283e-01,9.187020423702572103e+00
-3.345381607765031795e+00,1.570135494441011748e-01,9.191102852915079779e+00
-3.333661392739843077e+00,1.718884404934094001e-01,9.195194750285610397e+00
-3.341282028215138311e+00,1.576657858741568052e-01,9.178519784973559581e+00
-3.349809577230600688e+00,1.652972291069300659e-01,9.187223680244697377e+00
-3.348155666719360823e+00,1.574517849067406383e-01,9.176675670457441925e+00
-3.343779022964423753e+00,1.514832906590511674e-01,9.185343472420838040e+00
-3.348987198099571572e+00,1.571795414306365601e-01,9.197561712217318330e+00
-3.351307230506494150e+00,1.664706506139577435e-01,9.194494503373993766e+00
-3.347067538886971061e+00,1.653231126736536549e-01,9.182896890117183020e+00
-3.351018023562422954e+00,1.668052933321414744e-01,9.192019424485341261e+00
-3.352760532401926508e+00,1.538930429038507242e-01,9.193335866419445779e+00
-3.343378495202530498e+00,1.620383910298385244e-01,9.199826536726689596e+00
-3.343394710452419538e+00,1.587173992517106058e-01,9.180655800442753645e+00
-3.337597701684533291e+00,1.651079346483505794e-01,9.182238617730540398e+00
-3.341203342960101352e+00,1.626886177651870324e-01,9.189051341899903136e+00
-3.344847158152812305e+00,1.643847840789218473e-01,9.195830288458886059e+00
-3.340527784493921182e+00,1.569112000818286279e-01,9.187877689128434611e+00
-3.344415854708474800e+00,1.722787493200674536e-01,9.192209062324781854e+00
-3.349362634423670215e+00,1.584520979659621298e-01,9.191097583034968821e+00
-3.339119855538920767e+00,1.584927805399845568e-01,9.182910322187710861e+00
-3.350577098329587056e+00,1.608897806598107716e-01,9.185835338157419372e+00
-3.350037562253646239e+00,1.514961278524843413e-01,9.186411683395460770e+00
-3.343778015827187033e+00,1.604877426535989138e-01,9.203894341036070514e+00
-3.340812115246039937e+00,1.620459277225907435e-01,9.186229696599728101e+00
-3.342647060132112102e+00,1.651652735912842174e-01,9.188009702269363643e+00
-3.340797214603522303e+00,1.535352516958892466e-01,9.186360322015424629e+00
-3.341350507425106642e+00,1.623025453124149475e-01,9.187358782689910797e+00
-3.336750737670196365e+00,1.668213377473943548e-01,9.199448340904693211e+00
-3.345425613909105866e+00,1.538129344963606593e-01,9.193122304100679543e+00
-3.349931820385342096e+00,1.613709659667963703e-01,9.172927548368450701e+00
-3.353527924917048875e+00,1.596429404790523920e-01,9.187163345415109816e+00
-3.339566736945995817e+00,1.658221469397845038e-01,9.186311372287313759e+00
-3.345420477653900715e+00,1.528722640217953510e-01,9.184670290153638561e+00
-3.341905436031187726e+00,1.547521712305322539e-01,9.191912733846868022e+00
-3.345657235475790081e+00,1.596353653360113034e-01,9.196580876326844844e+00
-3.343280275713557348e+00,1.589477122233361461e-01,9.180984651477571035e+00
-3.343318333520725272e+00,1.566613611589918464e-01,9.202248664534891986e+00
-3.343595195010629517e+00,1.571754947873496011e-01,9.182512505888226428e+00
-3.343858606787317278e+00,1.640510556786624885e-01,9.192769155673532921e+00
-3.341373462077131595e+00,1.602470593913389585e-01,9.200728125307227501e+00
-3.346003808228463772e+00,1.611243468973297954e-01,9.191563482496375670e+00
-3.352422718023563952e+00,1.598461350973587047e-01,9.186414707569623417e+00
-3.350617975737299581e+00,1.641311546834762769e-01,9.188055564455011037e+00
-3.346195706699773176e+00,1.695489891757271383e-01,9.169524759254743529e+00
-3.343177077073494541e+00,1.559553678464693227e-01,9.196248209526105555e+00
-3.352581188849144134e+00,1.594197291906216674e-01,9.197331760127443800e+00
-3.346530507792416564e+00,1.547137979539218999e-01,9.187690696035588189e+00
-3.347816724601868632e+00,1.609133397541023247e-01,9.205226953182455318e+00
-3.348010469746161455e+00,1.538889701463062587e-01,9.184144389464986347e+00
-3.345901472083303130e+00,1.681907469789487020e-01,9.185992350240685056e+00
-3.344326653854346798e+00,1.562335785084013884e-01,9.176205077714183034e+00
-3.349164914674622295e+00,1.619965574260985863e-01,9.199641996678222355e+00
-3.348285767986410200e+00,1.615447533844497352e-01,9.201309218854374805e+00
-3.345476988423782050e+00,1.589699943702811424e-01,9.177362450531425964e+00
-3.344921312609063779e+00,1.562381671261418581e-01,9.207479179847304351e+00
-3.352566237034866337e+00,1.655704543672566753e-01,9.173501390931141586e+00
-3.347053530850014891e+00,1.530462370104467007e-01,9.189319066338981656e+00
-3.348481871915643726e+00,1.566171063938320562e-01,9.192342150543995061e+00
-3.353045262430493167e+00,1.553469736921069266e-01,9.191656334393661254e+00
-3.346394090702716095e+00,1.665476366468378600e-01,9.177152981752811911e+00
-3.353110003973451825e+00,1.535185461820311181e-01,9.181922993370172037e+00
-3.346364528375605829e+00,1.633488361150033374e-01,9.178113685650174602e+00
-3.346652405693144150e+00,1.739539132493882201e-01,9.181722308242255437e+00
-3.344727878023921352e+00,1.611850115059791921e-01,9.203659073741956576e+00
-3.338041346599363912e+00,1.586373158672837180e-01,9.199653725738405896e+00
-3.335315748649385181e+00,1.529603387412979132e-01,9.209499782433976378e+00
-3.348026277304179565e+00,1.571322488055488797e-01,9.193888182633081385e+00
-3.345114518921521451e+00,1.581529810028260707e-01,9.198735753942116844e+00
-3.342588781297593847e+00,1.644510476888945416e-01,9.189248179888723556e+00
-3.345630454997145620e+00,1.652962772975053451e-01,9.178553719010801970e+00
-3.349359809873351246e+00,1.649403687573844646e-01,9.193602288457851657e+00
-3.347323860030273490e+00,1.596813713302968896e-01,9.197945991293480006e+00
-3.338189117743217693e+00,1.583442117694664752e-01,9.208216662338205794e+00
-3.344646665814235753e+00,1.475471377783279248e-01,9.202461064479505737e+00
-3.334551501768053150e+00,1.662739706433780384e-01,9.188964442929455245e+00
-3.347341036126604052e+00,1.620060814671930027e-01,9.192070417824330875e+00
-3.352991107412773619e+00,1.583600104021827548e-01,9.184738332514513104e+00
-3.347173839242734594e+00,1.580726526588630276e-01,9.174345994575418217e+00
-3.349207911378659475e+00,1.663274439206509081e-01,9.187342118851397288e+00
-3.354614831913121265e+00,1.643443379798498194e-01,9.186264526806121822e+00
-3.345600463414292403e+00,1.650793181953063016e-01,9.174011831647465698e+00
-3.348994472505571363e+00,1.602872508674745566e-01,9.201767823623224984e+00
-3.342078066931614355e+00,1.622971390425765881e-01,9.193097425112769727e+00
-3.350645604873299988e+00,1.521744473665546105e-01,9.197923657120442797e+00
-3.343843300027344423e+00,1.659056381597481533e-01,9.189483305310332639e+00
-3.338667659806492161e+00,1.600963652503815671e-01,9.195582177279936431e+00
-3.337146256814650158e+00,1.626672253956845116e-01,9.194919664425899697e+00
-3.340948884147735054e+00,1.562166673224231195e-01,9.183258251366025249e+00
-3.350299138725516546e+00,1.641142648683837080e-01,9.183371843794802203e+00
-3.346403070023801440e+00,1.623453838019354167e-01,9.169405534538638491e+00
-3.350790063671291730e+00,1.595993317130743328e-01,9.185897305323786455e+00
-3.344517278223335666e+00,1.615094099929258176e-01,9.190714278398973036e+00
-3.337115711579035970e+00,1.488474688584886518e-01,9.184287147825136444e+00
-3.355496596670503262e+00,1.586850330194412573e-01,9.206862687079251373e+00
-3.334441952308931700e+00,1.541410562003013018e-01,9.191048531319326642e+00
-3.347980415077569827e+00,1.537417619591638918e-01,9.187164078986320703e+00
-3.338975799574705139e+00,1.549271611176070984e-01,9.188288647171569679e+00
-3.340838493546247179e+00,1.619983080645568396e-01,9.193045847542849813e+00
-3.347382630411763316e+00,1.611806318106925873e-01,9.185706650154033426e+00
-3.352198283995523553e+00,1.520431462176725923e-01,9.189945360047088840e+00
-3.338599616677676796e+00,1.554123402950102206e-01,9.192968380992413202e+00
-3.350551904630771460e+00,1.627930390256099591e-01,9.171143677482360701e+00
-3.341216306531246794e+00,1.662322876626369794e-01,9.189336720668043412e+00
-3.342416424324552437e+00,1.611553378102372480e-01,9.177181153544688996e+00
-3.345273739431517956e+00,1.665951531719092049e-01,9.191999762055370837e+00
-3.347834893827801306e+00,1.670581635401693077e-01,9.182406350453794275e+00
-3.339451643399402148e+00,1.663961810573724442e-01,9.190346217374063542e+00
-3.330518554493069772e+00,1.549182407253325289e-01,9.193902413593574963e+00
-3.335660135226045764e+00,1.607119595305423476e-01,9.197981901480114075e+00
-3.339519942289868926e+00,1.548518650159935173e-01,9.181655329664200949e+00
-3.342118422422005075e+00,1.679655476003608927e-01,9.208453993858528364e+00
-3.344340307294421777e+00,1.601580375703622050e-01,9.195535206944244422e+00
-3.349760927203669691e+00,1.521864218868040353e-01,9.199793208857675708e+00
-3.339871969801498697e+00,1.565541483952532786e-01,9.183683835626613501e+00
-3.354275746625705157e+00,1.521345184816339235e-01,9.178572925940406080e+00
-3.342606129891004585e+00,1.580285417078775845e-01,9.197809869032502306e+00
-3.348566685237441831e+00,1.592157417142679998e-01,9.184820976362555456e+00
-3.340793822398213653e+00,1.611898370155335769e-01,9.216582476160857240e+00
-3.343530975204195510e+00,1.614350560702816073e-01,9.182968767401074928e+00
-3.348891867968903924e+00,1.565321498571727865e-01,9.183969676873232402e+00
-3.337928550017962959e+00,1.645013712318289523e-01,9.197762138009265342e+00
-3.346522696507478578e+00,1.560284646934724517e-01,9.180786773018152047e+00
-3.345661591677156377e+00,1.677489008959123507e-01,9.185243973338604206e+00
-3.340582496636208987e+00,1.690855345440081814e-01,9.188873585974787872e+00
-3.341799221699028433e+00,1.609325058323521074e-01,9.186344117042638757e+00
-3.340991585522763874e+00,1.632215579917669634e-01,9.183381804121722780e+00
-3.349053397183368919e+00,1.537841760931094592e-01,9.186868154482393578e+00
-3.346760611643009753e+00,1.540618549153686401e-01,9.173870211184315338e+00
-3.337027215809830416e+00,1.624801556782352607e-01,9.188632998804273200e+00
-3.342097341918799369e+00,1.690788320980717296e-01,9.186962471186744139e+00
-3.350160367430326858e+00,1.529522835735039332e-01,9.191691927532650297e+00
-3.354086995522814973e+00,1.592167568678390932e-01,9.194504035982506096e+00
-3.351317474908984462e+00,1.618502203405763618e-01,9.189099650621555426e+00
-3.341726007111790686e+00,1.615265264190247907e-01,9.184773670934401224e+00
-3.351785940916490958e+00,1.531752219097698153e-01,9.197179720129758707e+00
-3.346199853259861356e+00,1.611394797324240402e-01,9.173502780531741507e+00
-3.339750996821662543e+00,1.700677180124823273e-01,9.195552745972609188e+00
-3.344746390769590239e+00,1.692999024028760402e-01,9.198967907797147348e+00
-3.345822520308316506e+00,1.594176465999924686e-01,9.188155788282891479e+00
-3.349698737493570277e+00,1.562471644905312207e-01,9.194208599327296838e+00
-3.338806328242059696e+00,1.573698272561055989e-01,9.183919680607029790e+00
-3.346794608448830033e+00,1.637930142749210727e-01,9.184165760686269664e+00
-3.355879160212490664e+00,1.490964893704678496e-01,9.192191145688136444e+00
-3.346382000113087063e+00,1.552849015743265337e-01,9.185735098798058829e+00
-3.342509881461554144e+00,1.577586563453614033e-01,9.181998038078987179e+00
-3.338998914630773029e+00,1.593847591160469090e-01,9.195760336438768334e+00
-3.356829965710725006e+00,1.532636541737057156e-01,9.173474566430783739e+00
-3.345257222299896860e+00,1.535992344947880450e-01,9.196968962750197818e+00
-3.348677299058634205e+00,1.664263052857398451e-01,9.196840540583020029e+00
-3.343022076191141778e+00,1.573826172226032161e-01,9.187810347053840587e+00
-3.345614003601955488e+00,1.652556076236474381e-01,9.203100200317830826e+00
-3.347172118931817764e+00,1.623943981791083624e-01,9.205942803197828539e+00
-3.331918978298856526e+00,1.548644921563447352e-01,9.185895958545678752e+00
-3.347836509226287394e+00,1.546887825169706854e-01,9.196934305281038391e+00
