gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
9.999677799004461631e-01,8.753251052901939752e-05,5.996391409343035939e-01,-1.452393576689271250e-02,9.583370733568508104e-02,3.162121926241970977e-04
9.999719566890205025e-01,-2.836368115260230844e-05,8.458906958742794302e+00,4.695767323488109213e-02,1.674870247854704387e-03,-1.404541241253883244e-01
1.000002593436401632e+00,-1.677396324631368565e-05,1.048248718333613283e+01,-5.106080075685828779e-02,2.324354990143479623e-03,-7.246290476197063402e-02
9.999909363830631337e-01,-1.757143279523289814e-05,-7.573759429873297755e+00,-4.293336384385422477e-02,1.221281339510786879e-01,7.220476651916846178e-02
1.000004078433912369e+00,4.313006200172091176e-05,-6.090542484191609596e+00,1.876264521821954454e-02,1.229056869953675801e-01,-1.010997316405649882e-02
9.999982587458166039e-01,-7.255119217371158594e-05,1.930954172597383556e+00,-6.293893662520944066e-02,1.191587783388643046e-01,6.258338876722088773e-02
9.999450351497647382e-01,-6.878531519192134988e-05,2.340791694146765245e+00,1.410961727969926166e-03,2.468409415080211403e-02,1.061288061239000213e-01
1.000027200387708426e+00,8.545728736927576030e-05,-4.035543741090723557e+00,-3.748265613475904728e-02,9.021323041975054524e-02,1.358662809864390891e-03
9.999970720700739335e-01,-5.445822746995421503e-05,-8.564139512889969164e-02,5.448866023531398484e-02,-1.856184501875489043e-02,7.019841235716643701e-02
1.000016051957145269e+00,4.301647583154552122e-05,1.115751749141735250e+00,-1.064014240042713971e-01,1.610103871056235703e-02,-2.509472257601910727e-03
1.000030894680991711e+00,5.229500614736021206e-06,-8.325261847279939786e+00,1.204637808458219050e-01,-4.265834171752965615e-03,-1.977592580399412103e-02
1.000039505079208579e+00,1.005708480393826248e-05,7.377887803300945402e-01,-7.393649098984582391e-02,3.609856904877258715e-02,-1.655773598177489453e-02
1.000104260364716113e+00,1.536267780449494406e-05,-1.299780571538172724e+00,-4.711325948681488462e-02,-6.190245594525235762e-02,-4.100589888012459716e-02
9.999450882543500230e-01,-3.496576554227267560e-05,2.135242135559967558e+00,2.388936000624820519e-02,7.829530730506090164e-02,-1.179255452667445914e-01
9.999632806609790592e-01,3.965440837053500278e-05,6.428043502985864244e+00,-3.668643946636643283e-02,7.311444373574835232e-02,9.859737909402686851e-02
9.999029820490115128e-01,4.638545300088485441e-05,-3.750289131551538979e+00,1.091235747479624429e-01,2.260649792570771505e-02,-1.492399271323297698e-04
9.999668251074798064e-01,-2.615398103048141438e-05,2.285608544680898024e+00,6.849875320680127999e-02,3.412494221638964070e-02,-7.062063372251746463e-02
1.000006406587139240e+00,5.089287213591674847e-05,4.764572720512219917e+00,8.831910111013979714e-02,-2.935277219225041617e-02,5.307163304383693408e-02
1.000026272040368092e+00,-4.753600476589635700e-05,6.291093727893472654e+00,-1.019041859006711015e-01,1.698525278442131192e-02,-3.354281594706553377e-02
1.000088484619910512e+00,3.164619053991724013e-05,-1.945681611393615285e+00,-9.295301370142170991e-03,3.627432418940362835e-02,7.334180776015958303e-02
1.000016360815027872e+00,2.136853266187984049e-05,3.384361001388845214e+00,5.608638210835272843e-03,5.386826818202375584e-03,-3.970662641200595200e-02
9.999056807842743311e-01,1.132627704604601752e-04,-5.652236606252769135e+00,3.410756451746310702e-02,-5.818510839571222615e-02,5.112547446808013429e-02
9.999792092091381868e-01,-1.681883602338676820e-07,-5.427996249050920596e+00,-1.993906201173049203e-02,-6.330334064635365077e-02,6.230694317223216955e-02
1.000079328383960631e+00,-1.447126898988070579e-05,-7.726339854201484059e+00,-1.692547558441255193e-02,1.042135947351383041e-01,2.617898193366137785e-02
1.000029554400208465e+00,7.390664950444657929e-06,5.500497156216215267e+00,8.165426578932211132e-02,-7.714334323779652169e-02,2.284564157872305892e-02
1.000001189633991761e+00,7.798131015957208186e-05,-5.988246288860609390e+00,7.064003677615678101e-02,-6.487149419052587462e-02,-5.993321501667366047e-02
1.000023809680064657e+00,6.557709915025181851e-06,4.145119705836700419e+00,-5.097509142279944838e-02,7.643645796268365433e-02,3.998464413975205689e-02
1.000117421772458437e+00,-9.310871790101698446e-05,3.955868798966471811e+00,4.563339839928737263e-02,-4.566678038216923086e-02,6.887161831463918527e-02
1.000012273946095487e+00,-2.582622521182220327e-05,1.653466588127180970e+01,3.045738025887561803e-02,-1.606860759995220288e-03,1.174881343280929913e-02
1.000055274014407303e+00,4.947836427099835098e-05,-6.021210216856181852e+00,-1.163685255391271739e-02,1.084200515356655015e-02,9.530400280232793897e-02
1.000005285774432373e+00,3.858312425543252165e-05,-2.538023112724558494e+00,4.377071253588463162e-02,-2.455567080931275736e-02,-1.055507533646700413e-02
1.000043724406866730e+00,6.384405658809238723e-05,4.360901026644668832e+00,-2.407392947814523954e-02,6.969818008031203327e-02,-2.428646856358924674e-02
9.999777685203181665e-01,-1.990253143192788289e-05,2.629542151118573479e+00,1.764553512686317313e-02,7.219675553084670128e-03,-4.513054190990482134e-02
9.999463544480017285e-01,9.684324089864742926e-06,-1.160278311197928368e-02,-2.373958396376794552e-02,-3.285068190863928844e-02,1.593010321765332415e-01
9.999879316453695877e-01,3.407279410942532725e-05,6.799083848711917177e+00,-4.988493226261959956e-02,1.640878477228903745e-02,1.773801511973592884e-02
1.000028848945565763e+00,4.512310898173328688e-05,6.807468216268517835e+00,-2.471131121396445349e-02,7.792964684640635298e-02,-4.078673973451595741e-02
